Local time,Open,High,Low,Close,Volume
13.04.2018 05:00:00.000 GMT+0800,107.315,107.345,107.287,107.304,4642.2598
13.04.2018 06:00:00.000 GMT+0800,107.302,107.317,107.243,107.248,2164.3899
13.04.2018 07:00:00.000 GMT+0800,107.248,107.257,107.203,107.252,2512.6299
13.04.2018 08:00:00.000 GMT+0800,107.254,107.371,107.251,107.333,7514.9502
13.04.2018 09:00:00.000 GMT+0800,107.333,107.480,107.310,107.420,6188.52
13.04.2018 10:00:00.000 GMT+0800,107.420,107.433,107.319,107.369,3975.8401
13.04.2018 11:00:00.000 GMT+0800,107.370,107.403,107.355,107.357,2851.74
13.04.2018 12:00:00.000 GMT+0800,107.357,107.381,107.333,107.374,3190.5701
13.04.2018 13:00:00.000 GMT+0800,107.374,107.483,107.362,107.467,4052.54
13.04.2018 14:00:00.000 GMT+0800,107.470,107.658,107.455,107.600,8322.25
13.04.2018 15:00:00.000 GMT+0800,107.600,107.675,107.556,107.643,7010.3501
13.04.2018 16:00:00.000 GMT+0800,107.641,107.660,107.560,107.614,4692.6899
13.04.2018 17:00:00.000 GMT+0800,107.613,107.631,107.523,107.593,3842.3
13.04.2018 18:00:00.000 GMT+0800,107.593,107.682,107.558,107.675,4012.74
13.04.2018 19:00:00.000 GMT+0800,107.673,107.737,107.650,107.694,4790.9902
13.04.2018 20:00:00.000 GMT+0800,107.694,107.715,107.658,107.701,5770.6699
13.04.2018 21:00:00.000 GMT+0800,107.699,107.778,107.603,107.647,8326.5303
13.04.2018 22:00:00.000 GMT+0800,107.649,107.649,107.486,107.518,9432.75
13.04.2018 23:00:00.000 GMT+0800,107.519,107.549,107.439,107.535,7487.54
14.04.2018 00:00:00.000 GMT+0800,107.534,107.539,107.377,107.395,6582.54
14.04.2018 01:00:00.000 GMT+0800,107.395,107.510,107.389,107.499,5256.1299
14.04.2018 02:00:00.000 GMT+0800,107.499,107.506,107.419,107.420,5929.3101
14.04.2018 03:00:00.000 GMT+0800,107.421,107.421,107.253,107.369,10006.0898
14.04.2018 04:00:00.000 GMT+0800,107.370,107.375,107.335,107.335,2131.74
14.04.2018 05:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 06:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 07:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 08:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 09:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 10:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 11:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 12:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 13:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 14:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 15:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 16:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 17:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 18:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 19:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 20:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 21:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 22:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
14.04.2018 23:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 00:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 01:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 02:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 03:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 04:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 05:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 06:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 07:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 08:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 09:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 10:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 11:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
15.04.2018 12:00:00.000 GMT+0800,107.335,107.335,107.335,107.335,0
